1	347	0
2	216	0
3	224	0
4	5	0
4	301	0
9	10	0
10	348	0
11	156	0
13	14	0
13	354	0
14	300	0
15	16	0
16	117	0
16	122	0
17	18	0
17	318	0
18	309	0
19	20	0
21	22	0
21	169	0
22	262	0
23	73	0
25	95	0
28	279	0
29	315	0
30	184	0
32	33	0
33	358	0
34	36	1
34	119	1
36	337	1
36	360	1
37	38	0
40	41	0
40	363	0
42	43	0
43	185	0
44	46	0
44	221	0
50	51	0
50	325	0
51	146	0
53	147	0
54	55	0
54	201	0
56	57	1
57	102	1
57	333	1
60	61	0
60	179	0
61	109	0
62	63	0
62	64	0
62	336	0
64	284	0
65	66	0
71	72	0
72	301	0
74	75	0
75	156	0
76	77	0
78	79	0
78	131	0
79	201	0
82	83	0
82	84	0
83	193	0
86	187	0
86	189	0
86	265	0
87	260	0
88	89	0
89	151	0
90	173	0
93	364	0
94	95	0
96	97	0
96	98	0
98	208	0
100	101	0
100	182	0
100	183	0
102	104	1
102	105	1
102	324	1
104	239	1
105	106	1
107	142	0
108	323	0
109	110	0
112	149	0
113	150	0
114	115	0
114	346	0
115	271	0
116	233	0
117	125	0
118	119	1
120	213	0
123	124	0
123	210	0
126	130	0
128	129	0
128	153	0
132	133	0
132	358	0
133	344	0
137	256	0
138	139	0
138	209	0
140	141	0
142	143	0
143	325	0
144	256	0
146	197	0
147	148	0
149	220	0
151	152	0
152	357	0
153	317	0
154	155	0
155	178	0
157	158	0
157	298	0
158	265	0
159	299	0
161	162	0
163	164	0
164	338	0
165	167	0
168	169	0
171	341	0
174	175	0
176	257	0
182	266	0
185	210	0
189	190	0
191	293	0
192	336	0
195	196	0
195	316	0
196	254	0
196	261	0
198	330	0
202	203	0
211	212	0
211	303	0
212	222	0
214	349	0
215	216	0
215	264	0
218	219	0
219	282	0
219	352	0
219	353	0
220	251	0
221	328	0
224	225	0
225	305	0
227	228	0
227	229	0
228	233	0
229	263	0
231	306	0
235	237	0
236	248	0
237	238	0
240	241	0
241	359	0
242	243	0
242	244	0
246	338	0
247	362	0
248	249	0
252	273	0
258	259	0
259	266	0
259	267	0
261	338	0
263	304	0
264	331	0
267	268	0
268	292	0
269	270	0
269	291	0
275	280	0
276	314	0
278	279	0
278	310	0
284	285	0
286	340	0
287	330	0
290	324	1
291	323	0
297	307	0
302	308	0
303	335	0
304	305	0
307	308	0
311	312	0
314	315	0
317	327	0
319	351	0
321	322	0
328	345	0
329	342	0
333	337	1
334	335	0
334	366	0
341	368	0
342	354	0
359	365	0
367	368	0
